strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.27,0.233359353,-0.03503287,0.016378176,0.348938838,106.210595,71.93178402,70.45457612,-172483.3241,7691.656728,1844.837886
0.2725,0.242355833,0.209601991,0.131150468,0.139978887,106.4196709,71.87792971,70.40957744,-172488.0598,7708.140449,1848.791494
0.275,0.136054062,-0.069535927,-0.159748089,0.371354804,106.6287469,71.76111448,70.32794563,-172437.9944,7667.335953,1839.004567
0.2775,0.238260563,0.059143528,0.076472262,0.24198895,106.8378229,71.67827926,70.31274064,-172497.6839,7736.44556,1855.580452
0.28,0.299211189,0.106587095,0.003630972,0.367520978,107.0468989,71.58906755,70.28011243,-172459.225,7705.536938,1848.167044
0.2825,0.230527828,0.112861697,0.041193846,0.234155838,107.2559748,71.47793479,70.25086306,-172464.3438,7717.85013,1851.120353
0.285,0.080522268,-0.004501996,0.028865759,0.104932967,107.4650508,71.34637888,70.21881242,-172441.1939,7700.925703,1847.061043
0.2875,0.194402781,-0.035610785,0.015637633,0.295786441,107.6741268,71.25040413,70.17843655,-172474.6679,7739.339683,1856.274606
0.29,0.285674096,0.097546485,0.154311037,0.236369342,107.8832028,71.21092868,70.13256069,-172428.932,7699.589405,1846.740532
0.2925,0.18174513,0.066201034,0.07347759,0.158509452,108.0922787,71.14959758,70.02005126,-172434.9361,7710.462663,1849.348475
0.295,0.118742153,0.016291227,-0.070220872,0.231705762,108.3013547,71.07193566,69.90998666,-172504.2176,7784.140828,1867.020126
0.2975,0.247562869,-0.013628252,0.119944317,0.31992019,108.5104307,71.02430085,69.86547313,-172467.0677,7750.360854,1858.918025
0.3,0.140832616,0.033362293,0.111196346,0.135964403,108.7195067,70.99360483,69.77804616,-172424.7611,7710.257193,1849.299193
0.3025,0.151612102,0.033437098,0.003643567,0.191696826,108.9285826,70.95785636,69.66566282,-172444.4968,7732.327356,1854.592704
0.305,0.135427751,0.034923409,0.076525275,0.123698584,109.1376586,70.9221477,69.58132447,-172398.6357,7689.562616,1844.335615
0.3075,0.189060762,0.035916428,0.062303412,0.200541481,109.3467346,70.87797063,69.48171657,-172434.6027,7729.359106,1853.880772
0.31,0.215061874,-0.035570615,-0.027614056,0.348957816,109.5558106,70.83637986,69.38401668,-172429.2799,7727.50639,1853.4364
0.3125,0.245368594,0.124565453,0.166613593,0.1502125,109.7648865,70.79830956,69.31595026,-172461.7572,7763.025828,1861.955709
0.315,0.038567146,-0.035971711,-0.026354569,0.099314449,109.9739625,70.71481139,69.20998887,-172423.6149,7725.949226,1853.062915
0.3175,0.127907843,0.022976568,0.029278025,0.144146182,110.1830385,70.67396135,69.1421515,-172432.0863,7736.39101,1855.567369
0.32,0.296464639,0.051317819,0.089209161,0.323245342,110.3921144,70.64730432,69.07333623,-172430.9298,7737.705266,1855.882592
0.3225,0.312698695,-0.025432632,0.019882728,0.449585883,110.6011904,70.60741609,68.96877236,-172408.6373,7718.504844,1851.277386
0.325,0.181367061,-0.035770849,0.044315613,0.26897177,110.8102664,70.57421437,68.87440751,-172380.1941,7693.556956,1845.293654
0.3275,0.270380438,0.067634941,0.039978432,0.308148833,111.0193424,70.54807286,68.78261047,-172423.9073,7740.635837,1856.585487
0.33,0.305173264,0.047782252,0.001720311,0.400569009,111.2284183,70.49687163,68.69380024,-172409.5916,7729.914587,1854.014004
0.3325,0.242903674,-0.09602812,0.021471128,0.421560443,111.4374943,70.44014899,68.61386586,-172399.9367,7723.432088,1852.459181
0.335,0.358627069,0.082687719,0.10565557,0.375052831,111.6465703,70.42488385,68.5331709,-172410.4393,7736.954104,1855.702426
0.3375,0.190810913,0.047460284,0.093872925,0.179166151,111.8556463,70.37259022,68.42567271,-172403.6768,7732.5244,1854.639965
0.34,0.112982647,-0.086231199,-0.054478326,0.262178525,112.0647222,70.31212316,68.32069381,-172422.0688,7753.414118,1859.650348
0.3425,0.174928305,0.083578511,0.08876672,0.125680233,112.2737982,70.29422687,68.26617766,-172368.4082,7701.767741,1847.263005
0.345,0.183760449,0.085931554,0.025702553,0.19539786,112.4828742,70.22922178,68.17976478,-172440.86,7776.011591,1865.070334
0.3475,0.104902485,-0.134673038,-0.053852053,0.298548934,112.6919502,70.15138257,68.08815151,-172429.0678,7765.859805,1862.635436
0.35,0.223283756,0.089394175,0.073081439,0.20187437,112.9010261,70.14848248,68.03203184,-172377.7197,7715.593902,1850.579199
0.3525,0.350687302,0.046536848,0.067248025,0.416262268,113.1101021,70.10984384,67.94218087,-172408.3752,7747.766065,1858.295667
0.355,0.239534458,-0.007377744,0.022221121,0.330252653,113.3191781,70.05673675,67.84516659,-172396.9055,7738.838788,1856.154466
0.3575,0.259071593,0.077517577,0.046358628,0.281388603,113.5282541,70.03044773,67.77352784,-172373.4419,7718.301658,1851.228652
0.36,0.327026958,0.089861038,0.051324121,0.365711392,113.73733,69.97229223,67.69400772,-172415.9627,7764.031109,1862.196825
0.3625,0.13399192,-0.07935369,-0.002350132,0.264641365,113.946406,69.88866498,67.61670616,-172389.2119,7740.014849,1856.436544
0.365,0.152638164,0.01644013,0.079522553,0.166958644,114.155482,69.85251283,67.55280435,-172426.6101,7778.610323,1865.693638
0.3675,0.15982523,-0.002523458,-0.000183906,0.227959412,114.364558,69.81383723,67.46188584,-172352.7334,7706.027847,1848.284788
0.37,0.156663329,0.023345673,-0.021882339,0.227371339,114.5736339,69.77325806,67.38347155,-172357.2677,7712.3015,1849.789519
0.3725,0.2070572,0.04436542,-0.044700372,0.312703063,114.7827099,69.71997301,67.32917267,-172329.7069,7686.682387,1843.644794
0.375,0.176802965,0.038345368,0.065081834,0.179908188,114.9917859,69.6285433,67.28978833,-172375.3017,7734.156219,1855.031356
0.3775,0.229835409,0.012914303,-0.030867273,0.341961228,115.2008619,69.53823862,67.2466792,-172388.3537,7750.223173,1858.885002
0.38,0.275524272,0.083858571,0.119949857,0.249482907,115.4099378,69.45424372,67.21535412,-172421.6724,7785.925479,1867.448173
0.3825,0.024486214,-0.006407906,-0.046337402,0.086975835,115.6190138,69.35409924,67.14571855,-172384.4291,7749.873419,1858.801114
0.385,0.150796108,0.063723176,-0.003233844,0.189182885,115.8280898,69.29212239,67.11094256,-172379.2808,7745.782275,1857.819856
0.3875,0.280779459,-0.007652947,0.120348543,0.353999595,116.0371658,69.22684902,67.07838686,-172374.5643,7742.510992,1857.035242
0.39,0.229180985,0.047837901,-0.000855605,0.296939732,116.2462417,69.17286723,66.99642159,-172377.6249,7747.403497,1858.208705
0.3925,0.196605865,-0.011855443,0.024239628,0.272890254,116.4553177,69.11654549,66.91951408,-172363.2417,7734.396777,1855.089054
0.395,0.266198296,0.021180048,-0.064230542,0.420133464,116.6643937,69.06481684,66.85819636,-172368.3223,7740.786585,1856.621644
0.3975,0.423468675,0.054696183,0.187134939,0.457588035,116.8734697,69.00669472,66.8256714,-172438.0891,7812.64248,1873.856225
0.4,0.154896013,0.011486601,0.028256734,0.192054689,117.0825456,68.93820748,66.7284084,-172403.6833,7779.208045,1865.837001
0.4025,0.170053413,0.018078376,-0.00571273,0.233572614,117.2916216,68.89003796,66.64607339,-172418.9388,7795.00182,1869.625126
0.405,0.287708263,0.070741756,-0.006214447,0.373346061,117.5006976,68.85508784,66.60024561,-172363.7283,7740.742519,1856.611075
0.4075,0.235785598,0.126079972,0.079898327,0.196134928,117.7097735,68.77583102,66.56358933,-172380.0738,7757.652138,1860.666834
0.41,0.10959664,-0.031000441,-0.051160696,0.214515492,117.9188495,68.66527738,66.50726044,-172377.7507,7756.000095,1860.270593
0.4125,0.068780471,-0.003169163,0.073172734,0.104995842,118.1279255,68.60005126,66.46262927,-172379.1062,7757.564088,1860.645715
0.415,0.092099703,-0.011719127,0.079694399,0.13888367,118.3370015,68.55933111,66.393605,-172357.6423,7736.284553,1855.541835
0.4175,0.146572642,0.034695064,0.111361065,0.140121815,118.5460774,68.53652124,66.29651506,-172403.045,7782.17415,1866.548419
0.42,0.14641247,0.014976477,-0.035988942,0.230528022,118.7551534,68.51036335,66.19005285,-172392.689,7772.033427,1864.116175
0.4225,0.230377482,-0.088520436,0.099080292,0.392592496,118.9642294,68.48929331,66.12007441,-172380.25,7760.391545,1861.323878
0.425,0.303935901,0.071127929,0.039714366,0.353552518,119.1733054,68.49000033,66.02505499,-172361.7804,7743.02451,1857.158409
0.4275,0.284014591,0.028883212,-0.03873315,0.416929367,119.3823813,68.44717633,65.93717145,-172341.9966,7724.661019,1852.75394
0.43,0.21982506,0.010803508,0.100331723,0.256873448,119.5914573,68.39546254,65.87176344,-172369.0741,7753.237377,1859.607957
0.4325,0.23041168,0.048802547,-0.009352643,0.306350835,119.8005333,68.33889547,65.79494624,-172368.8735,7754.155662,1859.828207
0.435,0.187373816,0.059090873,0.008420857,0.225938323,120.0096093,68.27578215,65.75207658,-172386.2464,7773.035126,1864.356432
0.4375,0.120148576,0.0564779,0.08229583,0.078443296,120.2186852,68.20517425,65.7040569,-172341.8886,7729.755869,1853.975935
0.44,0.125829137,-0.134834482,0.005873911,0.319583526,120.4277612,68.13074341,65.63037599,-172361.2598,7749.811272,1858.786208
0.4425,0.274919206,0.016038194,0.058312357,0.340183789,120.6368372,68.11674128,65.56577708,-172378.2033,7767.559824,1863.043185
0.445,0.246145748,0.043420217,0.122846136,0.250217729,120.8459132,68.09039209,65.47862612,-172410.5702,7800.050655,1870.836085
0.4475,0.221796694,-0.029589754,0.005220848,0.333634562,121.0549891,68.05282045,65.37748238,-172394.5244,7784.152823,1867.023002
0.45,0.213775887,0.105701197,0.037614824,0.217597364,121.2640651,68.03531576,65.29539802,-172402.088,7791.194968,1868.712056
0.4525,0.116304545,0.080277735,-0.070096139,0.242188869,121.4731411,67.97885871,65.22283397,-172362.1724,7750.149916,1858.867432
0.455,0.167569873,-0.003119627,0.105302534,0.211583298,121.6822171,67.89557447,65.19321722,-172425.2503,7812.277307,1873.768638
0.4575,0.21997456,0.005493533,0.008215201,0.3014159,121.891293,67.83658155,65.14050694,-172392.9198,7779.423593,1865.8887
0.46,0.173062425,0.076093846,0.037262291,0.17132563,122.100369,67.78684745,65.08319152,-172398.0579,7783.682011,1866.910079
0.4625,0.05167053,-0.013565857,0.030343144,0.081477874,122.309445,67.72118111,65.01825447,-172357.2595,7742.025127,1856.918707
0.465,0.123758285,0.03559049,-0.053242934,0.216781846,122.518521,67.68585583,64.95860151,-172363.5905,7747.804803,1858.304958
0.4675,0.234404511,0.119855054,0.087489644,0.189084838,122.7275969,67.62648096,64.91880184,-172405.5982,7789.634322,1868.337736
0.47,0.059725506,-0.074603942,0.003989043,0.165311256,122.9366729,67.52716644,64.85574306,-172401.0321,7784.466465,1867.098229
0.4725,0.170927555,0.018416383,0.004065013,0.226514299,123.1457489,67.47360444,64.82348861,-172373.4178,7756.405792,1860.367899
0.475,0.286795088,0.050451019,0.101210683,0.30475668,123.3548249,67.42747741,64.80278379,-172362.6739,7746.729453,1858.047036
0.4775,0.280463679,0.136454537,-0.02262285,0.371356557,123.5639008,67.36304559,64.73598779,-172409.3734,7794.380412,1869.476082
0.48,0.18236862,0.035625777,-0.05105373,0.289020401,123.7729768,67.25823469,64.7052535,-172372.8901,7758.873473,1860.95977
0.4825,0.080925465,0.043400081,0.126034958,0.101348625,123.9820528,67.15708138,64.7037636,-172386.2436,7772.755452,1864.289352
0.485,0.148111003,-0.008475151,0.058947296,0.192393286,124.1911288,67.08094946,64.65143773,-172400.173,7786.878703,1867.676803
0.4875,0.074003113,0.065977378,0.079777334,0.016976243,124.4002047,67.03411337,64.5875224,-172400.6454,7786.844445,1867.668586
0.49,0.125106809,0.047455079,-0.004173895,0.159401514,124.6092807,66.97709714,64.51869763,-172423.6843,7809.433726,1873.086607
0.4925,0.161988069,0.033359054,0.008067896,0.20217934,124.8183567,66.93482284,64.46666879,-172380.5824,7765.639291,1862.582546
0.495,0.213862913,-0.094487298,0.095500136,0.381031266,125.0274327,66.89239269,64.40627601,-172386.3633,7770.58947,1863.769843
0.4975,0.226633704,0.077408429,-0.02362633,0.308393076,125.2365086,66.87071154,64.32495521,-172387.4788,7770.669677,1863.78908
0.5,0.258121881,0.053978662,0.092745465,0.265568594,125.4455846,66.81994586,64.27006479,-172392.0779,7774.850622,1864.791877
0.5025,0.235533569,-0.01997289,-0.051894975,0.385898611,125.6546606,66.76137231,64.19748057,-172391.7045,7774.28555,1864.656345
0.505,0.267964599,0.130085416,-0.017658326,0.349884749,125.8637365,66.71174342,64.16948368,-172394.9503,7777.319042,1865.383925
0.5075,0.324914303,0.122157547,0.085697615,0.315696456,126.0728125,66.60491243,64.17477836,-172403.765,7785.817435,1867.422258
0.51,0.247882135,0.023063215,-0.022124614,0.354244451,126.2818885,66.48228361,64.15777562,-172384.1016,7766.233246,1862.725006
0.5125,0.152074783,-0.005509272,0.093715768,0.195151525,126.4909645,66.39267194,64.14550217,-172394.6034,7776.519085,1865.192056
0.515,0.137978865,-0.00165069,0.038665106,0.176025563,126.7000404,66.33129843,64.1026949,-172342.2723,7724.194583,1852.642065
0.5175,0.321508416,0.015385848,0.109279582,0.384145985,126.9091164,66.28559509,64.04484568,-172442.121,7824.599344,1876.724069
0.52,0.261663168,0.020342597,0.046298996,0.324485869,127.1181924,66.25733788,63.96839771,-172393.5451,7776.364132,1865.154891
