strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.058125,27.29905445,0.235807878,-0.015686069,38.4522771,66.28421161,62.74799227,61.40949226,-135819.3611,2226.124304,1098.414892
0.05875,27.4302855,-0.179613523,-0.066597738,38.96662527,66.32336353,62.72986164,61.4014145,-135759.5296,2197.645162,1084.362705
0.059375,27.52070434,0.129744351,0.036536442,38.80274297,66.36251546,62.74741888,61.38013546,-135711.9644,2181.130466,1076.214019
0.06,27.81112156,0.153870093,0.022815426,39.20625832,66.40166739,62.755905,61.35598476,-135705.2371,2205.739593,1088.356662
0.060625,27.86404356,-0.212413546,-0.083587166,39.61532662,66.44081931,62.7366906,61.34016996,-135659.1674,2190.969049,1081.068576
0.06125,28.12824557,0.103106261,0.08159322,39.64875287,66.47997124,62.75689941,61.32555426,-135630.8958,2194.309927,1082.717033
0.061875,28.30395739,-0.020394904,0.008287744,40.03641688,66.51912317,62.75844777,61.29121,-135593.0952,2188.417598,1079.809638
0.0625,28.35625784,-0.077329256,-0.161014122,40.27046906,66.55827509,62.75411319,61.2660898,-135564.5473,2192.032852,1081.593478
0.063125,28.59730713,0.115791904,0.148346686,40.25594515,66.59742702,62.75792016,61.27121749,-135541.5659,2200.935769,1085.986358
0.06375,28.55578248,-0.109322281,-0.067086063,40.50874743,66.63657894,62.76176858,61.22415828,-135493.2888,2185.098436,1078.171896
0.064375,28.89093836,-0.019560187,0.006695961,40.86706589,66.67573087,62.76341648,61.22032453,-135468.6705,2192.648468,1081.897235
0.065,28.90893117,-0.252324885,-0.001607998,41.06410828,66.7148828,62.75200532,61.21081554,-135421.0698,2177.752938,1074.547478
0.065625,29.09251797,-0.057809451,-0.066083672,41.23064039,66.75403472,62.77963556,61.16204857,-135397.8463,2187.272065,1079.244409
0.06625,29.34688233,0.395559161,0.175709196,41.0996933,66.79318665,62.79819031,61.15242561,-135364.9332,2187.251743,1079.234381
0.066875,29.43272504,-0.086334993,-0.019132109,41.69881666,66.83233858,62.77596706,61.14243103,-135323.3335,2178.948748,1075.137516
0.0675,29.5818397,-0.02107546,-0.044015275,41.88107442,66.8714905,62.79172441,61.10841953,-135294.2143,2183.314272,1077.291553
0.068125,29.77312473,0.008077102,0.031979237,42.07724286,66.91064243,62.79858502,61.08613672,-135261.1771,2183.482062,1077.374345
0.06875,29.78035464,-0.142038195,-0.077794736,42.27130001,66.94979436,62.78704292,61.06238197,-135230.6727,2186.541893,1078.884127
0.069375,30.07842259,0.075700882,0.015756555,42.47270644,66.98894628,62.8007936,61.05008327,-135199.12,2188.883074,1080.039314
0.07,30.00824996,-0.027657914,-0.105184233,42.53211364,67.02809821,62.80559928,61.02149974,-135154.6458,2178.322109,1074.828319
0.070625,30.24356654,-0.002501951,0.08271576,42.71426976,67.06725014,62.80612102,61.00949324,-135121.3495,2178.945471,1075.135899
0.07125,30.34996386,-0.006427358,0.003921334,42.92310441,67.10640206,62.81028698,60.98651531,-135084.3823,2176.319608,1073.840244
0.071875,30.49509753,0.078294617,0.069080161,43.02237229,67.14555399,62.81452581,60.96642106,-135063.4112,2189.491977,1080.339758
0.0725,30.53381465,-0.158256508,-0.085548738,43.35382258,67.18470592,62.82209189,60.92932501,-134995.1278,2155.913241,1063.771329
0.073125,30.66983163,-0.168929999,-0.067605157,43.54112431,67.22385784,62.82238271,60.91169607,-134981.1828,2176.103136,1073.733433
0.07375,30.94568861,-0.179068029,-0.16629853,44.00802634,67.26300977,62.82215489,60.89001454,-134969.5891,2199.174206,1085.117167
0.074375,31.03463196,0.077978765,0.140616499,43.7350945,67.3021617,62.8393124,60.87943246,-134913.2509,2177.722305,1074.532364
0.075,31.01193993,-0.025845346,-0.070761723,43.92585201,67.34131362,62.84563733,60.83284626,-134869.2418,2168.379828,1069.922596
0.075625,31.14647594,-0.133036817,-0.034291432,44.16625321,67.38046555,62.82876659,60.83421682,-134842.5894,2176.84665,1074.100298
0.07625,31.31054023,-0.057833489,-0.022465014,44.33659141,67.41961748,62.83551794,60.81893793,-134807.6059,2176.774904,1074.064897
0.076875,31.60922545,0.352422791,0.131341294,44.36094882,67.4587694,62.86922316,60.78688491,-134787.8695,2192.281615,1081.716223
0.0775,31.52037044,-0.162704188,-0.100712383,44.76286341,67.49792133,62.8518443,60.74705475,-134728.1251,2167.804572,1069.638753
0.078125,31.52583637,-0.204665302,-0.119390788,44.81352932,67.53707326,62.8486138,60.73403726,-134701.7265,2177.069222,1074.210119
0.07875,31.73766498,0.107598512,0.075030645,44.75471571,67.57622518,62.87019897,60.73550949,-134657.7434,2168.595832,1070.029177
0.079375,31.96843723,0.153520604,0.142482486,45.00089374,67.61537711,62.87429233,60.70638121,-134640.6396,2187.181107,1079.199528
0.08,32.01536544,0.019045087,0.002771802,45.26114153,67.65452903,62.882454,60.65831394,-134603.6863,2186.024981,1078.629072
0.080625,32.12235304,0.200281529,0.143679539,45.18470329,67.69368096,62.90148905,60.64149514,-134559.5777,2177.671965,1074.507525
0.08125,32.18479816,-0.224876661,-0.08644325,45.73662874,67.73283289,62.88741732,60.631569,-134503.4128,2157.639135,1064.62292
0.081875,32.30316593,-0.054269421,-0.012675664,45.73094106,67.77198481,62.88197036,60.61200345,-134493.454,2183.574225,1077.41982
0.0825,32.24702819,0.191577797,0.115490459,45.38715023,67.81113674,62.91906302,60.57622759,-134427.0469,2153.511799,1062.586409
